Name                                           Type               Forward_MACs    FPercent    Memory       MPercent    Params      PPercent    InShape       OutShape
---------------------------------------------  -----------------  --------------  ----------  -----------  ----------  ----------  ----------  ------------  ------------
/conv1/Conv                                    Conv               118,816,768     1.03%       3,249,152    0.69%       9,472       0.02%       1x3x224x224   1x64x112x112
/relu/Relu                                     Relu               802,816         0.01%       3,211,264    0.69%       0           0.00%       1x64x112x112  1x64x112x112
/maxpool/MaxPool                               MaxPool            1,806,336       0.02%       802,816      0.17%       0           0.00%       1x64x112x112  1x64x56x56
/layer1/layer1.0/conv1/Conv                    Conv               13,045,760      0.11%       819,456      0.17%       4,160       0.01%       1x64x56x56    1x64x56x56
/layer1/layer1.0/downsample/downsample.0/Conv  Conv               52,183,040      0.45%       3,277,824    0.70%       16,640      0.03%       1x64x56x56    1x256x56x56
/layer1/layer1.0/relu/Relu                     Relu               200,704         0.00%       802,816      0.17%       0           0.00%       1x64x56x56    1x64x56x56
/layer1/layer1.0/conv2/Conv                    Conv               115,806,208     1.00%       950,528      0.20%       36,928      0.06%       1x64x56x56    1x64x56x56
/layer1/layer1.0/relu_1/Relu                   Relu               200,704         0.00%       802,816      0.17%       0           0.00%       1x64x56x56    1x64x56x56
/layer1/layer1.0/conv3/Conv                    Conv               52,183,040      0.45%       3,277,824    0.70%       16,640      0.03%       1x64x56x56    1x256x56x56
/layer1/layer1.0/Add                           Add                802,816         0.01%       3,211,264    0.69%       0           0.00%       1x256x56x56   1x256x56x56
/layer1/layer1.0/relu_2/Relu                   Relu               802,816         0.01%       3,211,264    0.69%       0           0.00%       1x256x56x56   1x256x56x56
/layer1/layer1.1/conv1/Conv                    Conv               51,580,928      0.45%       868,608      0.19%       16,448      0.03%       1x256x56x56   1x64x56x56
/layer1/layer1.1/relu/Relu                     Relu               200,704         0.00%       802,816      0.17%       0           0.00%       1x64x56x56    1x64x56x56
/layer1/layer1.1/conv2/Conv                    Conv               115,806,208     1.00%       950,528      0.20%       36,928      0.06%       1x64x56x56    1x64x56x56
/layer1/layer1.1/relu_1/Relu                   Relu               200,704         0.00%       802,816      0.17%       0           0.00%       1x64x56x56    1x64x56x56
/layer1/layer1.1/conv3/Conv                    Conv               52,183,040      0.45%       3,277,824    0.70%       16,640      0.03%       1x64x56x56    1x256x56x56
/layer1/layer1.1/Add                           Add                802,816         0.01%       3,211,264    0.69%       0           0.00%       1x256x56x56   1x256x56x56
/layer1/layer1.1/relu_2/Relu                   Relu               802,816         0.01%       3,211,264    0.69%       0           0.00%       1x256x56x56   1x256x56x56
/layer1/layer1.2/conv1/Conv                    Conv               51,580,928      0.45%       868,608      0.19%       16,448      0.03%       1x256x56x56   1x64x56x56
/layer1/layer1.2/relu/Relu                     Relu               200,704         0.00%       802,816      0.17%       0           0.00%       1x64x56x56    1x64x56x56
/layer1/layer1.2/conv2/Conv                    Conv               115,806,208     1.00%       950,528      0.20%       36,928      0.06%       1x64x56x56    1x64x56x56
/layer1/layer1.2/relu_1/Relu                   Relu               200,704         0.00%       802,816      0.17%       0           0.00%       1x64x56x56    1x64x56x56
/layer1/layer1.2/conv3/Conv                    Conv               52,183,040      0.45%       3,277,824    0.70%       16,640      0.03%       1x64x56x56    1x256x56x56
/layer1/layer1.2/Add                           Add                802,816         0.01%       3,211,264    0.69%       0           0.00%       1x256x56x56   1x256x56x56
/layer1/layer1.2/relu_2/Relu                   Relu               802,816         0.01%       3,211,264    0.69%       0           0.00%       1x256x56x56   1x256x56x56
/layer2/layer2.0/conv1/Conv                    Conv               103,161,856     0.89%       1,737,216    0.37%       32,896      0.05%       1x256x56x56   1x128x56x56
/layer2/layer2.0/downsample/downsample.0/Conv  Conv               103,161,856     0.89%       2,131,968    0.46%       131,584     0.22%       1x256x56x56   1x512x28x28
/layer2/layer2.0/relu/Relu                     Relu               401,408         0.00%       1,605,632    0.34%       0           0.00%       1x128x56x56   1x128x56x56
/layer2/layer2.0/conv2/Conv                    Conv               115,705,856     1.00%       991,744      0.21%       147,584     0.25%       1x128x56x56   1x128x28x28
/layer2/layer2.0/relu_1/Relu                   Relu               100,352         0.00%       401,408      0.09%       0           0.00%       1x128x28x28   1x128x28x28
/layer2/layer2.0/conv3/Conv                    Conv               51,781,632      0.45%       1,869,824    0.40%       66,048      0.11%       1x128x28x28   1x512x28x28
/layer2/layer2.0/Add                           Add                401,408         0.00%       1,605,632    0.34%       0           0.00%       1x512x28x28   1x512x28x28
/layer2/layer2.0/relu_2/Relu                   Relu               401,408         0.00%       1,605,632    0.34%       0           0.00%       1x512x28x28   1x512x28x28
/layer2/layer2.1/conv1/Conv                    Conv               51,480,576      0.44%       664,064      0.14%       65,664      0.11%       1x512x28x28   1x128x28x28
/layer2/layer2.1/relu/Relu                     Relu               100,352         0.00%       401,408      0.09%       0           0.00%       1x128x28x28   1x128x28x28
/layer2/layer2.1/conv2/Conv                    Conv               115,705,856     1.00%       991,744      0.21%       147,584     0.25%       1x128x28x28   1x128x28x28
/layer2/layer2.1/relu_1/Relu                   Relu               100,352         0.00%       401,408      0.09%       0           0.00%       1x128x28x28   1x128x28x28
/layer2/layer2.1/conv3/Conv                    Conv               51,781,632      0.45%       1,869,824    0.40%       66,048      0.11%       1x128x28x28   1x512x28x28
/layer2/layer2.1/Add                           Add                401,408         0.00%       1,605,632    0.34%       0           0.00%       1x512x28x28   1x512x28x28
/layer2/layer2.1/relu_2/Relu                   Relu               401,408         0.00%       1,605,632    0.34%       0           0.00%       1x512x28x28   1x512x28x28
/layer2/layer2.2/conv1/Conv                    Conv               51,480,576      0.44%       664,064      0.14%       65,664      0.11%       1x512x28x28   1x128x28x28
/layer2/layer2.2/relu/Relu                     Relu               100,352         0.00%       401,408      0.09%       0           0.00%       1x128x28x28   1x128x28x28
/layer2/layer2.2/conv2/Conv                    Conv               115,705,856     1.00%       991,744      0.21%       147,584     0.25%       1x128x28x28   1x128x28x28
/layer2/layer2.2/relu_1/Relu                   Relu               100,352         0.00%       401,408      0.09%       0           0.00%       1x128x28x28   1x128x28x28
/layer2/layer2.2/conv3/Conv                    Conv               51,781,632      0.45%       1,869,824    0.40%       66,048      0.11%       1x128x28x28   1x512x28x28
/layer2/layer2.2/Add                           Add                401,408         0.00%       1,605,632    0.34%       0           0.00%       1x512x28x28   1x512x28x28
/layer2/layer2.2/relu_2/Relu                   Relu               401,408         0.00%       1,605,632    0.34%       0           0.00%       1x512x28x28   1x512x28x28
/layer2/layer2.3/conv1/Conv                    Conv               51,480,576      0.44%       664,064      0.14%       65,664      0.11%       1x512x28x28   1x128x28x28
/layer2/layer2.3/relu/Relu                     Relu               100,352         0.00%       401,408      0.09%       0           0.00%       1x128x28x28   1x128x28x28
/layer2/layer2.3/conv2/Conv                    Conv               115,705,856     1.00%       991,744      0.21%       147,584     0.25%       1x128x28x28   1x128x28x28
/layer2/layer2.3/relu_1/Relu                   Relu               100,352         0.00%       401,408      0.09%       0           0.00%       1x128x28x28   1x128x28x28
/layer2/layer2.3/conv3/Conv                    Conv               51,781,632      0.45%       1,869,824    0.40%       66,048      0.11%       1x128x28x28   1x512x28x28
/layer2/layer2.3/Add                           Add                401,408         0.00%       1,605,632    0.34%       0           0.00%       1x512x28x28   1x512x28x28
/layer2/layer2.3/relu_2/Relu                   Relu               401,408         0.00%       1,605,632    0.34%       0           0.00%       1x512x28x28   1x512x28x28
/layer2/layer2.4/conv1/Conv                    Conv               51,480,576      0.44%       664,064      0.14%       65,664      0.11%       1x512x28x28   1x128x28x28
/layer2/layer2.4/relu/Relu                     Relu               100,352         0.00%       401,408      0.09%       0           0.00%       1x128x28x28   1x128x28x28
/layer2/layer2.4/conv2/Conv                    Conv               115,705,856     1.00%       991,744      0.21%       147,584     0.25%       1x128x28x28   1x128x28x28
/layer2/layer2.4/relu_1/Relu                   Relu               100,352         0.00%       401,408      0.09%       0           0.00%       1x128x28x28   1x128x28x28
/layer2/layer2.4/conv3/Conv                    Conv               51,781,632      0.45%       1,869,824    0.40%       66,048      0.11%       1x128x28x28   1x512x28x28
/layer2/layer2.4/Add                           Add                401,408         0.00%       1,605,632    0.34%       0           0.00%       1x512x28x28   1x512x28x28
/layer2/layer2.4/relu_2/Relu                   Relu               401,408         0.00%       1,605,632    0.34%       0           0.00%       1x512x28x28   1x512x28x28
/layer2/layer2.5/conv1/Conv                    Conv               51,480,576      0.44%       664,064      0.14%       65,664      0.11%       1x512x28x28   1x128x28x28
/layer2/layer2.5/relu/Relu                     Relu               100,352         0.00%       401,408      0.09%       0           0.00%       1x128x28x28   1x128x28x28
