Name                                           Type               Forward_MACs    FPercent    Memory       MPercent    Params      PPercent    InShape       OutShape
/layer2/layer2.2/relu_2/Relu                   Relu               401,408         0.01%       1,605,632    0.77%       0           0.00%       1x512x28x28   1x512x28x28
/layer2/layer2.3/conv1/Conv                    Conv               51,480,576      1.25%       664,064      0.32%       65,664      0.26%       1x512x28x28   1x128x28x28
/layer2/layer2.3/relu/Relu                     Relu               100,352         0.00%       401,408      0.19%       0           0.00%       1x128x28x28   1x128x28x28
/layer2/layer2.3/conv2/Conv                    Conv               115,705,856     2.81%       991,744      0.48%       147,584     0.58%       1x128x28x28   1x128x28x28
/layer2/layer2.3/relu_1/Relu                   Relu               100,352         0.00%       401,408      0.19%       0           0.00%       1x128x28x28   1x128x28x28
/layer2/layer2.3/conv3/Conv                    Conv               51,781,632      1.26%       1,869,824    0.90%       66,048      0.26%       1x128x28x28   1x512x28x28
/layer2/layer2.3/Add                           Add                401,408         0.01%       1,605,632    0.77%       0           0.00%       1x512x28x28   1x512x28x28
/layer2/layer2.3/relu_2/Relu                   Relu               401,408         0.01%       1,605,632    0.77%       0           0.00%       1x512x28x28   1x512x28x28
/layer3/layer3.0/conv1/Conv                    Conv               102,961,152     2.50%       1,328,128    0.64%       131,328     0.51%       1x512x28x28   1x256x28x28
/layer3/layer3.0/downsample/downsample.0/Conv  Conv               102,961,152     2.50%       2,904,064    1.40%       525,312     2.06%       1x512x28x28   1x1024x14x14
/layer3/layer3.0/relu/Relu                     Relu               200,704         0.00%       802,816      0.39%       0           0.00%       1x256x28x28   1x256x28x28
/layer3/layer3.0/conv2/Conv                    Conv               115,655,680     2.81%       2,561,024    1.23%       590,080     2.31%       1x256x28x28   1x256x14x14
/layer3/layer3.0/relu_1/Relu                   Relu               50,176          0.00%       200,704      0.10%       0           0.00%       1x256x14x14   1x256x14x14
/layer3/layer3.0/conv3/Conv                    Conv               51,580,928      1.25%       1,855,488    0.89%       263,168     1.03%       1x256x14x14   1x1024x14x14
/layer3/layer3.0/Add                           Add                200,704         0.00%       802,816      0.39%       0           0.00%       1x1024x14x14  1x1024x14x14
/layer3/layer3.0/relu_2/Relu                   Relu               200,704         0.00%       802,816      0.39%       0           0.00%       1x1024x14x14  1x1024x14x14
/layer3/layer3.1/conv1/Conv                    Conv               51,430,400      1.25%       1,250,304    0.60%       262,400     1.03%       1x1024x14x14  1x256x14x14
/layer3/layer3.1/relu/Relu                     Relu               50,176          0.00%       200,704      0.10%       0           0.00%       1x256x14x14   1x256x14x14
/layer3/layer3.1/conv2/Conv                    Conv               115,655,680     2.81%       2,561,024    1.23%       590,080     2.31%       1x256x14x14   1x256x14x14
